Date,ALB,APD,AVY,BLL,CF,DWDP,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,PKG,PPG,PX,SEE,SHW,VMC,WRK
2018-01-04,130.220001,167.050003,116.779999,38.349998,43.270195,74.449997,136.470001,96.510002,19.74,97.449997,153.759995,61.580002,112.800003,228.0,117.93,26.82,38.259997999999996,67.220001,128.080002,117.470001,159.970001,49.57,413.100006,133.380005,66.591675
2018-01-05,131.720001,168.449997,118.160004,38.59,43.339664,75.41999799999999,137.179993,97.110001,19.9,98.08000200000001,156.869995,61.700001,114.370003,227.330002,118.599998,26.860001,38.400002,67.860001,128.470001,118.91999799999999,161.369995,49.419998,421.660004,131.899994,66.859871
2018-01-08,137.449997,168.630005,118.599998,38.619999,42.396854,75.160004,136.699997,97.480003,19.809998999999998,98.16999799999999,155.830002,62.130001,114.110001,230.25,119.099998,26.290001,38.360001000000004,68.239998,129.580002,118.720001,161.309998,49.639998999999996,424.0,133.940002,67.306862
2018-01-09,135.440002,169.059998,118.910004,38.5,42.148746,75.339996,136.66000400000001,97.269997,18.92,98.129997,154.259995,61.490002000000004,115.150002,228.00999500000003,119.32,26.110001,38.110001000000004,67.779999,127.900002,118.220001,162.880005,48.970001,424.209991,134.139999,66.949272
2018-01-10,132.96000700000002,168.350006,118.589996,37.849998,42.099121000000004,74.199997,135.119995,97.25,19.51,97.519997,153.779999,61.619999,115.029999,226.63000499999998,118.83000200000001,25.91,38.34,68.940002,128.0,116.610001,162.619995,48.66,419.52999900000003,132.399994,66.95920600000001
2018-01-11,134.690002,169.970001,119.57,38.380001,43.38929,75.220001,137.029999,97.5,19.879998999999998,97.879997,153.529999,62.23,117.699997,229.63999900000002,119.540001,27.07,38.84,70.18,129.240005,117.57,163.809998,48.650002,425.35998499999994,135.179993,67.80351999999999
2018-01-12,133.520004,170.149994,119.349998,37.900002,43.190804,75.410004,137.679993,97.43,19.75,97.879997,153.699997,62.259997999999996,117.68,230.75999500000003,119.699997,27.219998999999998,39.790001000000004,69.019997,128.320007,118.16999799999999,164.149994,48.860001000000004,432.839996,133.970001,68.737228
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,128.0,166.75,117.379997,38.389998999999996,40.402058000000004,74.949997,137.020004,96.809998,19.32,94.980003,152.53999299999998,61.23,115.889999,226.190002,119.720001,25.68,40.0,68.949997,125.879997,116.639999,162.100006,48.43,423.869995,133.690002,68.230644
2018-01-17,126.949997,168.559998,118.879997,39.040001000000004,39.260757,75.769997,137.429993,96.860001,19.77,93.860001,156.550003,61.490002000000004,116.879997,227.039993,118.809998,25.540001,39.450001,69.260002,126.760002,114.5,163.46000700000002,48.5,426.94000199999994,134.580002,68.806763
2018-01-18,117.910004,166.899994,120.629997,38.790001000000004,39.776825,76.029999,138.350006,96.83000200000001,19.4,90.16999799999999,155.130005,62.619999,116.889999,226.63999900000002,118.860001,26.219998999999998,39.240002000000004,68.82,126.110001,118.410004,161.5,48.740002000000004,430.76000999999997,135.16000400000001,67.575058
2018-01-19,116.010002,167.800003,121.339996,38.720001,40.084476,76.010002,139.75,98.129997,19.959999,89.860001,155.190002,63.5,119.91999799999999,226.979996,120.660004,26.530001000000002,39.470001,68.720001,127.559998,118.440002,161.880005,49.099998,430.799988,135.029999,68.697502
2018-01-22,113.529999,168.600006,120.730003,37.759997999999996,40.531075,76.18,140.33999599999999,97.769997,19.99,89.849998,153.059998,63.459998999999996,118.940002,226.710007,120.989998,26.66,39.66,68.989998,127.25,116.779999,160.619995,48.970001,427.17999299999997,133.0,68.320038
2018-01-23,113.0,169.600006,119.739998,38.400002,40.987595,76.139999,137.759995,97.959999,19.549999,88.879997,153.009995,63.32,118.43,231.419998,121.550003,27.299999,40.32,68.980003,126.480003,117.25,159.229996,49.0,429.209991,134.880005,67.952515
2018-01-24,112.400002,170.809998,120.059998,38.84,41.32502,76.010002,137.309998,98.639999,19.6,89.730003,152.860001,63.66,118.940002,232.25999500000003,122.18,27.200001,41.57,69.010002,126.199997,118.940002,160.869995,48.900002,429.380005,135.490005,68.290237
