Date,ADM,BF.b,CAG,CHD,CL,CLX,COST,COTY,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TSN,WBA,WMT
2018-01-11,40.560001,,36.556625,49.148727,74.16523000000001,141.164474,188.874588,20.52,45.75,78.531921,95.639999,129.08999599999999,58.09,34.34,110.089996,65.980003,77.129997,112.699997,46.040001000000004,27.955177000000003,42.509997999999996,101.0,63.959998999999996,70.290001,116.879997,89.467941,104.860001,122.34838899999998,218.518097,61.220001,84.489998,79.959999,74.938469,100.019997
2018-01-12,40.5,,36.506904999999996,48.800297,74.234871,140.140472,191.328018,20.780001000000002,45.509997999999996,78.29340400000001,95.239998,128.529999,57.849998,34.549999,109.269997,64.690002,77.349998,112.980003,46.150002,28.014909999999997,42.470001,101.010002,63.77,69.610001,117.379997,88.93203000000001,104.5,122.62656399999999,216.991821,61.380001,84.879997,79.900002,75.62442800000001,100.870003
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,40.779999,,36.566573999999996,49.029266,75.030731,141.582031,191.018845,20.4,46.439999,78.949326,94.910004,128.66000400000001,58.43,34.720001,108.290001,65.940002,78.639999,114.260002,46.529999,28.124421999999996,42.990002000000004,101.290001,64.559998,68.91999799999999,117.860001,89.537415,104.870003,123.202789,217.23121600000002,61.720001,84.720001,78.66999799999999,75.584663,100.690002
2018-01-17,40.91,,37.05386,49.626575,76.284233,143.480942,191.77681,20.700001,46.959998999999996,79.008957,95.900002,132.059998,59.119999,34.919998,108.93,66.510002,80.07,116.660004,46.82,28.542555,43.860001000000004,102.650002,67.07,70.150002,119.18,90.50999499999999,105.790001,125.02087399999999,218.68768300000002,62.200001,84.68,79.25,75.336128,102.699997
2018-01-18,40.48,,36.954414,49.24828,76.234489,142.307785,190.998886,20.01,46.25,78.859879,95.32,130.979996,58.66,34.25,107.790001,65.800003,79.269997,115.339996,46.880001,28.93082,43.68,102.910004,66.470001,70.029999,119.050003,90.18,105.07,124.861916,216.76236,62.220001,83.25,78.879997,75.55484,104.300003
2018-01-19,40.959998999999996,,37.561039,49.686306,77.099998,143.023605,191.77681,20.530001000000002,47.389998999999996,79.36673,96.349998,134.449997,59.110001000000004,34.759997999999996,109.370003,66.620003,79.660004,115.489998,47.16,29.587887,44.139998999999996,99.190002,66.860001,71.120003,120.16999799999999,91.07,108.91999799999999,126.699875,217.749969,63.209998999999996,83.769997,80.190002,76.022087,104.589996
2018-01-22,42.75,,37.561039,49.88541,77.379997,143.639999,193.86123700000002,20.889999,47.650002,80.449997,96.760002,134.869995,59.77,34.880001,109.959999,67.16999799999999,80.16999799999999,116.910004,47.380001,29.498287,44.279999,99.129997,67.769997,71.279999,121.510002,91.889999,108.809998,126.55085,218.78744500000002,63.59,84.059998,80.889999,76.94664,105.449997
2018-01-23,42.610001000000004,,37.511318,49.636532,76.900002,143.520004,192.903793,20.77,47.57,80.440002,96.730003,136.720001,59.790001000000004,34.939999,110.809998,66.93,80.269997,117.839996,47.450001,29.179708,44.5,98.889999,68.449997,71.449997,121.300003,89.050003,109.529999,127.206551,220.243896,63.34,83.260002,81.129997,76.56886300000001,105.900002
2018-01-24,42.84,,37.391979,48.889893,76.800003,142.25,193.721619,20.379998999999998,47.099998,80.91999799999999,95.959999,136.25,59.720001,34.389998999999996,110.309998,67.300003,79.860001,119.709999,47.830002,29.348953,44.59,100.089996,68.279999,71.559998,121.139999,88.309998,110.599998,126.113716,221.49086,63.73,83.889999,79.779999,76.877052,105.790001
