Date,VBR,VEA,VOE,VTI,VTV,VWO
2017-04-24,122.694946,39.403309,101.571732,121.02834299999999,94.298836,39.446976
2017-04-21,121.28671299999999,38.55677,100.392517,119.75968200000001,93.18293,38.995148
2017-04-20,121.524727,38.537085999999995,100.788887,120.14623300000001,93.548325,39.034434999999995
2017-04-19,120.28508799999999,38.192562,99.936684,119.164993,92.75829300000001,38.631714
2017-04-18,120.106575,38.369747,99.966408,119.26410700000001,93.084183,38.916565000000006
2017-04-17,120.086739,38.596146000000005,100.253784,119.52179699999999,93.489067,39.378223
2017-04-13,118.71817,38.281155,99.26284,118.49101999999999,92.738548,39.044258
2017-04-12,120.18591299999999,38.527241,100.00604200000001,119.303757,93.518684,39.250526
2017-04-11,121.77265200000001,38.55677,100.878075,119.918259,93.91370400000001,39.113014
2017-04-10,120.979279,38.399277000000005,100.66996800000001,119.95790900000001,93.91370400000001,39.073723
2017-04-07,120.60243200000001,38.399277000000005,100.432152,119.80923500000002,93.903824,39.260353
2017-04-06,120.771019,38.448494000000004,100.59070600000001,119.898445,94.02233100000001,39.270171999999995
2017-04-05,119.69005600000001,38.418960999999996,100.00604200000001,119.52179699999999,93.726074,39.338928
2017-04-04,120.721443,38.625679,100.461876,120.007469,94.11120600000001,39.407688
2017-04-03,120.63217900000001,38.645359,100.531242,119.947998,93.982826,39.319286
2017-03-31,121.842072,38.684734000000006,100.99698599999999,120.24533799999999,94.180336,39.014790000000005
2017-03-30,121.72306100000002,38.743797,101.046532,120.453476,94.486465,39.309464
2017-03-29,120.800774,38.891445000000004,100.640244,120.007469,94.02233100000001,39.535381
2017-03-28,120.30491599999999,38.852077,100.31324000000001,119.78941299999998,94.061829,39.476444
2017-03-27,119.144608,38.674896000000004,99.42139399999999,118.956856,93.281685,39.378223
2017-03-24,119.333031,38.5863,99.649307,119.095619,93.49894,39.496086
2017-03-23,119.504608,38.487865,99.627502,119.083725,93.688553,39.388039
2017-03-22,118.99095200000001,38.379996999999996,99.588043,119.12319199999999,93.717995,39.368401
2017-03-21,119.04033700000001,38.330975,99.311821,118.965317,93.610008,39.18079
2017-03-20,121.677773,38.556507,101.018478,120.652557,94.95500200000001,39.661235999999995
2017-03-17,122.428505,38.576118,101.363754,120.938698,95.239716,39.278839000000005
2017-03-16,122.221069,38.517281,101.393349,121.00776699999999,95.485153,39.318058
2017-03-15,122.230949,38.36039,101.54132800000001,121.15576899999999,95.622597,39.053329
2017-03-14,120.512169,37.772045,100.367378,120.07040400000001,94.81755799999999,38.161064
2017-03-13,121.00606499999999,38.056412,100.840912,120.504547,95.180809,38.376778
2017-03-10,120.719597,37.879906,100.663338,120.415749,95.259346,37.896336
2017-03-09,120.20594799999999,37.585732,100.150345,119.981606,94.95500200000001,37.582577
2017-03-08,120.72948500000001,37.428833000000004,100.347656,119.922409,94.876465,37.906139
2017-03-07,121.61850700000001,37.624953999999995,100.702805,120.257874,95.112091,38.288536
2017-03-06,122.458145,37.723015000000004,101.136864,120.64268500000001,95.445885,38.239509999999996
2017-03-03,123.28789499999999,37.850483000000004,101.69916500000001,121.116295,95.769867,38.180679
2017-03-02,123.376801,37.664181,101.71889499999999,121.017632,95.740402,37.857116999999995
2017-03-01,124.83874499999999,37.899516999999996,102.63636,121.797127,96.447266,38.543465000000005
2017-02-28,122.724846,37.536697,101.245369,120.178947,95.053177,37.935555
2017-02-27,124.097893,37.624953999999995,101.570923,120.622955,95.249527,38.268925
2017-02-24,123.28789499999999,37.605339,101.344025,120.35656000000002,95.15136,38.425804
2017-02-23,123.28789499999999,37.928932,101.136864,120.15921000000002,95.141548,38.837616
2017-02-22,124.018875,37.860291,101.37361899999999,120.24801599999999,94.93537099999999,38.818005
2017-02-21,124.50289199999999,37.889709,101.639977,120.40588400000001,95.00408900000001,38.719955
2017-02-17,123.357033,37.723015000000004,100.959282,119.69546499999998,94.424858,38.406193
2017-02-16,123.49533100000001,37.850483000000004,100.91983,119.51786799999999,94.444496,38.533657
2017-02-15,123.75216699999999,37.772045,100.99874100000001,119.626396,94.424858,38.641514
2017-02-14,123.29776799999999,37.634762,100.623871,118.97518899999999,94.002708,38.35717
2017-02-13,122.902649,37.654373,100.35752099999999,118.541046,93.560921,38.29834
2017-02-10,122.438377,37.51709,99.87413000000001,117.949028,92.932602,38.151264000000005
2017-02-09,121.598747,37.379807,99.2033,117.45568100000001,92.56935899999999,37.80809
2017-02-08,120.373871,37.242531,98.640991,116.686066,91.980301,37.611988000000004
2017-02-07,120.452896,37.183689,98.404236,116.55778500000001,91.980301,37.317840999999994
2017-02-06,120.92703999999999,37.213112,98.601524,116.56765700000001,92.157013,37.455112
2017-02-03,121.598747,37.487671,99.045456,116.843933,92.363182,37.543358000000005
2017-02-02,120.04789699999999,37.330776,98.118149,115.965775,91.52869399999999,37.308037
2017-02-01,120.166435,37.271946,97.910973,115.88684099999999,91.499237,37.180569
2017-01-31,120.304726,37.144474,97.96030400000001,115.89670600000001,91.76432,37.102131
2017-01-30,119.82069399999999,37.016991,97.555832,115.798042,91.8134,37.08252
2017-01-27,121.272774,37.28175,98.12801400000001,116.587395,92.392639,37.268814
2017-01-26,121.983994,37.370003000000004,98.522614,116.774864,92.539902,37.229595
2017-01-25,122.20130900000001,37.487671,98.838295,116.942596,92.57916999999999,37.386475
2017-01-24,121.11471599999999,37.124859,98.03922299999999,115.946045,91.891937,37.062908
2017-01-23,119.405823,36.967964,96.687706,115.048149,91.224358,36.798176
2017-01-20,119.89971899999999,36.889515,96.924477,115.35403400000001,91.53850600000001,36.298119
2017-01-19,119.316925,36.713013000000004,96.519997,114.959351,91.11635600000001,36.239288
2017-01-18,120.245461,36.781651000000004,97.19081899999999,115.41323100000001,91.50904799999999,36.337340999999995
2017-01-17,119.771309,36.948353000000004,96.845543,115.14681999999999,91.35198199999999,36.474613
2017-01-13,120.81839,37.046409999999995,97.23028599999999,115.659904,91.842857,36.513832
2017-01-12,120.176308,36.909126,97.01325200000001,115.373756,91.71521800000001,36.553047
2017-01-11,121.134476,36.879711,97.31907700000001,115.67964199999999,91.990112,36.464802
2017-01-10,120.601059,36.624759999999995,96.98365,115.31456000000001,91.656319,36.151043
2017-01-09,119.63301799999999,36.585537,96.786354,115.22575400000001,91.666145,35.954941
2017-01-06,120.84801499999999,36.673794,97.555832,115.66976899999999,92.166832,36.013775
2017-01-05,121.104851,36.820873,97.437454,115.30468799999998,92.078476,36.160854
2017-01-04,122.290222,36.497284,97.920837,115.531624,92.422089,35.788258
2017-01-03,120.40351100000001,36.056026,96.648247,114.65347299999999,91.921387,35.464690999999995
